date,price_pln_per_mw_h_mean,price_pln_per_mw_h_min,price_pln_per_mw_h_max,mw_procured_mean,capacity_revenue_baseline_sum,capacity_revenue_capped_sum,budget_envelope_sum,bound_flag_sum
2024-06-30,106.75,68.91,178.85,400.0,3120.49,3120.49,5337.69,0
2024-07-01,214.65,35.65,1000.0,400.0,27209.9,27209.9,128789.12,0
2024-07-02,377.3,14.57,1000.0,400.0,43909.89,43018.16,226378.38,5
2024-07-03,143.19,14.46,1000.0,400.0,41131.13,39712.04,85916.94,12
2024-07-04,162.21,14.46,312.17,400.0,44696.76,43747.26,97327.19,11
2024-07-05,465.89,26.25,1000.0,400.0,66988.78,66025.73,279533.75,9
2024-07-06,621.51,163.95,1000.0,400.0,87589.23,87589.23,372904.38,0
2024-07-07,283.22,15.46,520.19,400.0,76918.46,76185.42,169932.81,7
2024-07-08,169.83,11.77,1000.0,400.0,44550.33,38606.86,101898.69,32
2024-07-09,190.65,10.0,1000.0,400.0,44623.96,43758.9,114388.56,11
2024-07-10,514.46,30.26,1000.0,400.0,51907.33,51705.78,308673.19,3
2024-07-11,63.37,38.58,101.56,400.0,35124.88,17410.9,17823.19,37
