date,price_pln_per_mw_h_mean,price_pln_per_mw_h_min,price_pln_per_mw_h_max,mw_procured_mean,capacity_revenue_baseline_sum,capacity_revenue_capped_sum,budget_envelope_sum,bound_flag_sum
2024-06-30,106.75,68.91,178.85,400.0,9068.87,7979.93,10675.38,4
2024-07-01,214.65,35.65,1000.0,400.0,108826.42,94513.39,257578.25,59
2024-07-02,377.3,14.57,1000.0,400.0,108826.42,104998.32,452756.75,9
2024-07-03,143.19,14.46,1000.0,400.0,108826.42,94827.22,171833.88,33
2024-07-04,162.21,14.46,312.17,400.0,108826.42,95814.27,194654.38,21
2024-07-05,465.89,26.25,1000.0,400.0,108826.42,97395.47,559067.5,18
2024-07-06,621.51,163.95,1000.0,400.0,108826.42,108826.42,745808.75,0
2024-07-07,283.22,15.46,520.19,400.0,108826.42,101549.02,339865.62,21
2024-07-08,169.83,11.77,1000.0,400.0,108826.42,88099.56,203797.38,54
2024-07-09,190.65,10.0,1000.0,400.0,108826.42,91231.22,228777.12,33
2024-07-10,514.46,30.26,1000.0,400.0,108826.42,96169.71,617346.38,25
2024-07-11,63.37,38.58,101.56,400.0,51012.39,35015.24,35646.38,37
