,price_pln_per_mw_h,price_pln_per_mw_h,price_pln_per_mw_h,mw_procured,budget_pln_interval,exante_pln_portfolio_capped,exante_p_accept
,mean,min,max,mean,sum,sum,mean
date,,,,,,,
2024-06-30,106.75,68.91,178.85,400.0,85403.0,22298.750000000004,0.5
2024-07-01,214.65,35.65,1000.0,400.0,2060626.0,1425083.75,0.3854166666666667
2024-07-02,377.3,14.57,1000.0,400.0,3622054.0,3063823.75,0.90625
2024-07-03,143.19,14.46,1000.0,400.0,1374671.0,659519.2941260256,0.6318629260848698
2024-07-04,162.21,14.46,312.17,400.0,1557235.0,901107.5560451945,0.781218990475057
2024-07-05,465.89,26.25,1000.0,400.0,4472540.0,4075935.0,0.8125
2024-07-06,621.51,163.95,1000.0,400.0,5966470.0,5769879.25,1.0
2024-07-07,283.22,15.46,520.19,400.0,2718925.0,2292041.500000008,0.7395833333260861
2024-07-08,169.83,11.77,1000.0,400.0,1630379.0,1012093.75,0.39583333333333265
2024-07-09,190.65,10.0,1000.0,400.0,1830217.0,1242120.2025300611,0.5834544710994976
2024-07-10,514.46,30.26,1000.0,400.0,4938771.0,4597272.502562704,0.6770817595739339
2024-07-11,63.37,38.58,101.56,400.0,285171.0,780.0456330155541,0.08883484154977654
