dt,price_pln_per_mw_h,mw_procured,CEN,COR,CSDAC,CEB_SR,Hours_in_interval,T_years,budget_pln_interval,exante_option_value_per_mw,exante_p_accept,exante_pln_per_mw_interval,exante_pln_portfolio_baseline,exante_pln_portfolio_capped
2024-06-30 22:00:00+00:00,178.85,400.0,605.54,10.0,413.14,605.54,0.25,2.8519279032626055e-05,17885.0,78.85,1.0,19.7125,9856.25,9856.25
2024-06-30 22:15:00+00:00,68.91,400.0,721.25,10.0,527.82,721.25,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-06-30 22:30:00+00:00,68.91,400.0,716.9,10.0,527.82,716.9,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-06-30 22:45:00+00:00,68.91,400.0,544.14,10.0,527.82,544.14,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-06-30 23:00:00+00:00,68.91,400.0,527.82,10.0,527.82,527.36,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-06-30 23:15:00+00:00,133.18,400.0,544.14,10.0,486.29,544.14,0.25,2.8519279032626055e-05,13318.0,33.18000000000001,1.0,8.295000000000002,4147.500000000001,4147.500000000001
2024-06-30 23:30:00+00:00,133.18,400.0,544.14,10.0,486.29,544.14,0.25,2.8519279032626055e-05,13318.0,33.18000000000001,1.0,8.295000000000002,4147.500000000001,4147.500000000001
2024-06-30 23:45:00+00:00,133.18,400.0,539.11,10.0,486.29,539.11,0.25,2.8519279032626055e-05,13318.0,33.18000000000001,1.0,8.295000000000002,4147.500000000001,4147.500000000001
2024-07-01 00:00:00+00:00,133.18,400.0,486.29,10.0,486.29,452.31,0.25,2.8519279032626055e-05,13318.0,33.18000000000001,1.0,8.295000000000002,4147.500000000001,4147.500000000001
2024-07-01 00:15:00+00:00,135.18,400.0,544.14,10.0,417.8,544.14,0.25,2.8519279032626055e-05,13518.0,35.18000000000001,1.0,8.795000000000002,4397.500000000001,4397.500000000001
2024-07-01 00:30:00+00:00,135.18,400.0,544.14,10.0,417.8,544.14,0.25,2.8519279032626055e-05,13518.0,35.18000000000001,1.0,8.795000000000002,4397.500000000001,4397.500000000001
2024-07-01 00:45:00+00:00,135.18,400.0,542.38,10.0,417.8,542.38,0.25,2.8519279032626055e-05,13518.0,35.18000000000001,1.0,8.795000000000002,4397.500000000001,4397.500000000001
2024-07-01 01:00:00+00:00,135.18,400.0,544.14,10.0,417.8,544.14,0.25,2.8519279032626055e-05,13518.0,35.18000000000001,1.0,8.795000000000002,4397.500000000001,4397.500000000001
2024-07-01 01:15:00+00:00,131.98,400.0,544.14,10.0,384.5,544.14,0.25,2.8519279032626055e-05,13197.999999999998,31.97999999999999,1.0,7.994999999999997,3997.4999999999986,3997.4999999999986
2024-07-01 01:30:00+00:00,131.98,400.0,544.14,10.0,384.5,544.14,0.25,2.8519279032626055e-05,13197.999999999998,31.97999999999999,1.0,7.994999999999997,3997.4999999999986,3997.4999999999986
2024-07-01 01:45:00+00:00,131.98,400.0,544.14,10.0,384.5,544.14,0.25,2.8519279032626055e-05,13197.999999999998,31.97999999999999,1.0,7.994999999999997,3997.4999999999986,3997.4999999999986
2024-07-01 02:00:00+00:00,131.98,400.0,534.37,10.0,384.5,534.37,0.25,2.8519279032626055e-05,13197.999999999998,31.97999999999999,1.0,7.994999999999997,3997.4999999999986,3997.4999999999986
2024-07-01 02:15:00+00:00,147.78,400.0,443.19,10.0,380.41,443.19,0.25,2.8519279032626055e-05,14778.0,47.78,1.0,11.945,5972.5,5972.5
2024-07-01 02:30:00+00:00,147.78,400.0,369.7,10.0,380.41,369.7,0.25,2.8519279032626055e-05,14778.0,47.78,1.0,11.945,5972.5,5972.5
2024-07-01 02:45:00+00:00,147.78,400.0,366.7,10.0,380.41,366.7,0.25,2.8519279032626055e-05,14778.0,47.78,1.0,11.945,5972.5,5972.5
2024-07-01 03:00:00+00:00,147.78,400.0,368.7,10.0,380.41,368.7,0.25,2.8519279032626055e-05,14778.0,47.78,1.0,11.945,5972.5,5972.5
2024-07-01 03:15:00+00:00,129.67,400.0,370.81,0.0,384.98,370.81,0.25,2.8519279032626055e-05,12966.999999999998,29.669999999999987,1.0,7.417499999999997,3708.7499999999986,3708.7499999999986
2024-07-01 03:30:00+00:00,129.67,400.0,370.81,0.0,384.98,370.81,0.25,2.8519279032626055e-05,12966.999999999998,29.669999999999987,1.0,7.417499999999997,3708.7499999999986,3708.7499999999986
2024-07-01 03:45:00+00:00,129.67,400.0,376.81,0.0,384.98,376.81,0.25,2.8519279032626055e-05,12966.999999999998,29.669999999999987,1.0,7.417499999999997,3708.7499999999986,3708.7499999999986
2024-07-01 04:00:00+00:00,129.67,400.0,516.06,0.0,384.98,516.06,0.25,2.8519279032626055e-05,12966.999999999998,29.669999999999987,1.0,7.417499999999997,3708.7499999999986,3708.7499999999986
2024-07-01 04:15:00+00:00,68.91,400.0,618.05,0.0,618.05,534.14,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 04:30:00+00:00,68.91,400.0,618.05,0.0,618.05,534.14,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
