date,price_pln_per_mw_h_mean,price_pln_per_mw_h_min,price_pln_per_mw_h_max,mw_procured_mean,capacity_revenue_baseline_sum,capacity_revenue_capped_sum,budget_envelope_sum,bound_flag_sum
2024-06-30,106.75,68.91,178.85,400.0,6843.84,6843.84,10675.38,0
2024-07-01,214.65,35.65,1000.0,400.0,59863.28,59782.62,257578.25,2
2024-07-02,377.3,14.57,1000.0,400.0,94068.66,91901.72,452756.75,7
2024-07-03,143.19,14.46,1000.0,400.0,88086.31,84410.39,171833.88,12
2024-07-04,162.21,14.46,312.17,400.0,95502.09,92903.16,194654.38,11
2024-07-05,465.89,26.25,1000.0,400.0,135118.32,132602.82,559067.5,9
2024-07-06,621.51,163.95,1000.0,400.0,171400.08,171400.08,745808.75,0
2024-07-07,283.22,15.46,520.19,400.0,152848.84,150765.72,339865.62,13
2024-07-08,169.83,11.77,1000.0,400.0,94249.73,80171.28,203797.38,40
2024-07-09,190.65,10.0,1000.0,400.0,95040.22,92477.06,228777.12,14
2024-07-10,514.46,30.26,1000.0,400.0,108160.13,107514.32,617346.38,4
2024-07-11,63.37,38.58,101.56,400.0,70377.0,35248.33,35646.38,41
