dt,price_pln_per_mw_h
2024-06-30 22:00:00+00:00,178.85
2024-06-30 22:15:00+00:00,68.91
2024-06-30 22:30:00+00:00,68.91
2024-06-30 22:45:00+00:00,68.91
2024-06-30 23:00:00+00:00,68.91
2024-06-30 23:15:00+00:00,133.18
2024-06-30 23:30:00+00:00,133.18
2024-06-30 23:45:00+00:00,133.18
2024-07-01 00:00:00+00:00,133.18
2024-07-01 00:15:00+00:00,135.18
2024-07-01 00:30:00+00:00,135.18
2024-07-01 00:45:00+00:00,135.18
2024-07-01 01:00:00+00:00,135.18
2024-07-01 01:15:00+00:00,131.98
2024-07-01 01:30:00+00:00,131.98
2024-07-01 01:45:00+00:00,131.98
2024-07-01 02:00:00+00:00,131.98
2024-07-01 02:15:00+00:00,147.78
2024-07-01 02:30:00+00:00,147.78
2024-07-01 02:45:00+00:00,147.78
2024-07-01 03:00:00+00:00,147.78
2024-07-01 03:15:00+00:00,129.67
2024-07-01 03:30:00+00:00,129.67
2024-07-01 03:45:00+00:00,129.67
2024-07-01 04:00:00+00:00,129.67
2024-07-01 04:15:00+00:00,68.91
2024-07-01 04:30:00+00:00,68.91
2024-07-01 04:45:00+00:00,68.91
2024-07-01 05:00:00+00:00,68.91
2024-07-01 05:15:00+00:00,68.91
2024-07-01 05:30:00+00:00,68.91
2024-07-01 05:45:00+00:00,68.91
2024-07-01 06:00:00+00:00,68.91
2024-07-01 06:15:00+00:00,68.91
2024-07-01 06:30:00+00:00,68.91
2024-07-01 06:45:00+00:00,68.91
2024-07-01 07:00:00+00:00,68.91
2024-07-01 07:15:00+00:00,68.91
2024-07-01 07:30:00+00:00,68.91
2024-07-01 07:45:00+00:00,68.91
2024-07-01 08:00:00+00:00,68.91
2024-07-01 08:15:00+00:00,68.91
2024-07-01 08:30:00+00:00,68.91
2024-07-01 08:45:00+00:00,68.91
2024-07-01 09:00:00+00:00,68.91
2024-07-01 09:15:00+00:00,68.91
2024-07-01 09:30:00+00:00,68.91
2024-07-01 09:45:00+00:00,68.91
2024-07-01 10:00:00+00:00,68.91
2024-07-01 10:15:00+00:00,89.49
2024-07-01 10:30:00+00:00,89.49
2024-07-01 10:45:00+00:00,89.49
2024-07-01 11:00:00+00:00,89.49
2024-07-01 11:15:00+00:00,88.64
2024-07-01 11:30:00+00:00,88.64
