dt,CEN,COR,CEB_SR,CSDAC
2024-06-30 22:00:00+00:00,605.54,10.0,605.54,413.14
2024-06-30 22:15:00+00:00,721.25,10.0,721.25,527.82
2024-06-30 22:30:00+00:00,716.9,10.0,716.9,527.82
2024-06-30 22:45:00+00:00,544.14,10.0,544.14,527.82
2024-06-30 23:00:00+00:00,527.82,10.0,527.36,527.82
2024-06-30 23:15:00+00:00,544.14,10.0,544.14,486.29
2024-06-30 23:30:00+00:00,544.14,10.0,544.14,486.29
2024-06-30 23:45:00+00:00,539.11,10.0,539.11,486.29
2024-07-01 00:00:00+00:00,486.29,10.0,452.31,486.29
2024-07-01 00:15:00+00:00,544.14,10.0,544.14,417.8
2024-07-01 00:30:00+00:00,544.14,10.0,544.14,417.8
2024-07-01 00:45:00+00:00,542.38,10.0,542.38,417.8
2024-07-01 01:00:00+00:00,544.14,10.0,544.14,417.8
2024-07-01 01:15:00+00:00,544.14,10.0,544.14,384.5
2024-07-01 01:30:00+00:00,544.14,10.0,544.14,384.5
2024-07-01 01:45:00+00:00,544.14,10.0,544.14,384.5
2024-07-01 02:00:00+00:00,534.37,10.0,534.37,384.5
2024-07-01 02:15:00+00:00,443.19,10.0,443.19,380.41
2024-07-01 02:30:00+00:00,369.7,10.0,369.7,380.41
2024-07-01 02:45:00+00:00,366.7,10.0,366.7,380.41
2024-07-01 03:00:00+00:00,368.7,10.0,368.7,380.41
2024-07-01 03:15:00+00:00,370.81,0.0,370.81,384.98
2024-07-01 03:30:00+00:00,370.81,0.0,370.81,384.98
2024-07-01 03:45:00+00:00,376.81,0.0,376.81,384.98
2024-07-01 04:00:00+00:00,516.06,0.0,516.06,384.98
2024-07-01 04:15:00+00:00,618.05,0.0,534.14,618.05
2024-07-01 04:30:00+00:00,618.05,0.0,534.14,618.05
2024-07-01 04:45:00+00:00,618.05,0.0,552.59,618.05
2024-07-01 05:00:00+00:00,618.05,0.0,603.89,618.05
2024-07-01 05:15:00+00:00,631.04,10.0,631.04,624.65
2024-07-01 05:30:00+00:00,746.91,10.0,746.91,624.65
2024-07-01 05:45:00+00:00,666.63,10.0,666.63,624.65
2024-07-01 06:00:00+00:00,654.04,10.0,654.04,624.65
2024-07-01 06:15:00+00:00,679.0,10.0,679.0,623.53
2024-07-01 06:30:00+00:00,679.0,10.0,679.0,623.53
2024-07-01 06:45:00+00:00,657.0,10.0,657.0,623.53
2024-07-01 07:00:00+00:00,626.05,10.0,626.05,623.53
2024-07-01 07:15:00+00:00,665.87,10.0,665.87,621.29
2024-07-01 07:30:00+00:00,621.29,10.0,582.67,621.29
2024-07-01 07:45:00+00:00,621.29,10.0,546.61,621.29
2024-07-01 08:00:00+00:00,621.29,10.0,570.76,621.29
2024-07-01 08:15:00+00:00,623.47,10.0,623.47,548.96
2024-07-01 08:30:00+00:00,755.87,25.63,755.87,548.96
2024-07-01 08:45:00+00:00,751.76,14.85,751.76,548.96
2024-07-01 09:00:00+00:00,740.24,10.0,740.24,548.96
2024-07-01 09:15:00+00:00,665.87,10.0,665.87,554.39
2024-07-01 09:30:00+00:00,554.39,10.0,544.14,554.39
2024-07-01 09:45:00+00:00,554.39,10.0,544.86,554.39
2024-07-01 10:00:00+00:00,554.39,10.0,544.86,554.39
2024-07-01 10:15:00+00:00,544.14,10.0,544.14,505.83
2024-07-01 10:30:00+00:00,544.14,10.0,544.14,505.83
2024-07-01 10:45:00+00:00,544.14,10.0,544.14,505.83
2024-07-01 11:00:00+00:00,544.14,10.0,544.14,505.83
2024-07-01 11:15:00+00:00,503.59,10.0,493.71,503.59
2024-07-01 11:30:00+00:00,503.59,10.0,493.71,503.59
2024-07-01 11:45:00+00:00,503.59,10.0,402.87,503.59
2024-07-01 12:00:00+00:00,465.97,10.0,465.97,503.59
2024-07-01 12:15:00+00:00,396.98,10.0,396.98,588.29
2024-07-01 12:30:00+00:00,390.67,10.0,390.67,588.29
2024-07-01 12:45:00+00:00,450.88,10.0,450.88,588.29
2024-07-01 13:00:00+00:00,450.88,10.0,450.88,588.29
2024-07-01 13:15:00+00:00,393.82,10.0,393.82,535.29
2024-07-01 13:30:00+00:00,393.82,10.0,393.82,535.29
2024-07-01 13:45:00+00:00,447.86,10.0,447.86,535.29
2024-07-01 14:00:00+00:00,451.86,10.0,451.86,535.29
2024-07-01 14:15:00+00:00,390.67,10.0,390.67,763.57
2024-07-01 14:30:00+00:00,390.67,10.0,390.67,763.57
2024-07-01 14:45:00+00:00,396.98,10.0,396.98,763.57
2024-07-01 15:00:00+00:00,464.0,10.0,464.0,763.57
2024-07-01 15:15:00+00:00,435.47,0.0,435.47,866.48
2024-07-01 15:30:00+00:00,455.97,0.0,455.97,866.48
2024-07-01 15:45:00+00:00,497.2,0.0,497.2,866.48
2024-07-01 16:00:00+00:00,597.0,0.0,597.0,866.48
2024-07-01 16:15:00+00:00,841.0,0.0,841.0,1199.32
2024-07-01 16:30:00+00:00,846.0,0.0,846.0,1199.32
2024-07-01 16:45:00+00:00,1199.32,0.0,665.23,1199.32
2024-07-01 17:00:00+00:00,1199.32,0.0,736.91,1199.32
2024-07-01 17:15:00+00:00,1349.62,0.0,428.44,1349.62
2024-07-01 17:30:00+00:00,1349.62,0.0,795.47,1349.62
2024-07-01 17:45:00+00:00,1349.62,0.0,934.17,1349.62
2024-07-01 18:00:00+00:00,1349.62,0.0,1117.83,1349.62
2024-07-01 18:15:00+00:00,1454.17,0.0,1117.83,1454.17
2024-07-01 18:30:00+00:00,1454.17,0.0,1117.83,1454.17
2024-07-01 18:45:00+00:00,1454.17,0.0,1117.91,1454.17
2024-07-01 19:00:00+00:00,1454.17,0.0,1133.3,1454.17
2024-07-01 19:15:00+00:00,1124.36,0.0,978.09,1124.36
2024-07-01 19:30:00+00:00,1124.36,0.0,934.3,1124.36
2024-07-01 19:45:00+00:00,1124.36,0.0,932.42,1124.36
2024-07-01 20:00:00+00:00,1124.36,0.0,711.25,1124.36
2024-07-01 20:15:00+00:00,824.52,0.0,700.58,824.52
2024-07-01 20:30:00+00:00,824.52,0.0,710.88,824.52
2024-07-01 20:45:00+00:00,824.52,0.0,551.46,824.52
2024-07-01 21:00:00+00:00,824.52,0.0,452.04,824.52
2024-07-01 21:15:00+00:00,604.64,0.0,586.0,604.64
2024-07-01 21:30:00+00:00,604.64,0.0,557.79,604.64
2024-07-01 21:45:00+00:00,604.64,0.0,446.75,604.64
2024-07-01 22:00:00+00:00,481.0,0.0,481.0,604.64
2024-07-01 22:15:00+00:00,717.4,10.0,635.49,717.4
2024-07-01 22:30:00+00:00,717.4,10.0,636.44,717.4
2024-07-01 22:45:00+00:00,717.4,0.0,501.54,717.4
2024-07-01 23:00:00+00:00,607.0,0.0,607.0,717.4
2024-07-01 23:15:00+00:00,629.28,0.0,537.53,629.28
2024-07-01 23:30:00+00:00,629.28,0.0,486.39,629.28
2024-07-01 23:45:00+00:00,629.28,0.0,430.1,629.28
2024-07-02 00:00:00+00:00,531.0,0.0,531.0,629.28
2024-07-02 00:15:00+00:00,509.0,0.0,509.0,591.89
2024-07-02 00:30:00+00:00,591.89,0.0,426.72,591.89
2024-07-02 00:45:00+00:00,591.89,0.0,401.96,591.89
