dt,CEN,COR,CEB_SR,CKOEB,CSDAC
2024-06-13 22:15:00+00:00,941.06,10.0,580.23,570.23,941.06
2024-06-13 22:30:00+00:00,941.06,10.0,572.76,562.76,941.06
2024-06-13 22:45:00+00:00,941.06,10.0,566.93,556.93,941.06
2024-06-13 23:00:00+00:00,941.06,10.0,566.9,556.9,941.06
2024-06-13 23:15:00+00:00,379.28,10.0,379.28,369.28,414.69
2024-06-13 23:30:00+00:00,515.0,10.0,515.0,505.0,414.69
2024-06-13 23:45:00+00:00,514.99,10.0,514.99,504.99,414.69
2024-06-14 00:00:00+00:00,515.02,10.0,515.02,505.02,414.69
2024-06-14 00:15:00+00:00,515.0,10.0,515.0,505.0,369.6
2024-06-14 00:30:00+00:00,199.16,0.0,199.16,199.16,369.6
2024-06-14 00:45:00+00:00,179.16,0.0,179.16,179.16,369.6
2024-06-14 01:00:00+00:00,179.16,0.0,179.16,179.16,369.6
2024-06-14 01:15:00+00:00,179.16,0.0,179.16,179.16,369.38
2024-06-14 01:30:00+00:00,171.03,0.0,171.03,171.03,369.38
2024-06-14 01:45:00+00:00,171.03,0.0,171.03,171.03,369.38
2024-06-14 02:00:00+00:00,173.31,0.0,173.31,173.31,369.38
2024-06-14 02:15:00+00:00,328.21,0.0,328.21,328.21,372.42
2024-06-14 02:30:00+00:00,359.66,0.0,359.66,359.66,372.42
2024-06-14 02:45:00+00:00,312.21,0.0,312.21,312.21,372.42
2024-06-14 03:00:00+00:00,249.97,0.0,249.97,249.97,372.42
2024-06-14 03:15:00+00:00,312.21,0.0,312.21,312.21,371.47
2024-06-14 03:30:00+00:00,249.97,0.0,249.97,249.97,371.47
2024-06-14 03:45:00+00:00,312.21,0.0,312.21,312.21,371.47
2024-06-14 04:00:00+00:00,438.86,0.0,438.86,438.86,371.47
2024-06-14 04:15:00+00:00,432.67,0.0,432.67,432.67,370.64
2024-06-14 04:30:00+00:00,505.02,0.0,505.02,505.02,370.64
2024-06-14 04:45:00+00:00,505.03,0.0,505.03,505.03,370.64
2024-06-14 05:00:00+00:00,459.01,0.0,459.01,459.01,370.64
2024-06-14 05:15:00+00:00,515.04,10.0,515.04,505.04,424.36
2024-06-14 05:30:00+00:00,424.36,10.0,515.88,505.88,424.36
2024-06-14 05:45:00+00:00,424.36,10.0,473.64,463.64,424.36
2024-06-14 06:00:00+00:00,396.88,10.0,396.88,386.88,424.36
2024-06-14 06:15:00+00:00,417.08,10.0,474.89,464.89,417.08
2024-06-14 06:30:00+00:00,417.08,10.0,474.89,464.89,417.08
2024-06-14 06:45:00+00:00,396.88,10.0,396.88,386.88,417.08
2024-06-14 07:00:00+00:00,350.53,10.0,350.53,340.53,417.08
2024-06-14 07:15:00+00:00,369.6,10.0,403.45,393.45,369.6
2024-06-14 07:30:00+00:00,146.05,0.0,146.05,146.05,369.6
2024-06-14 07:45:00+00:00,129.44,0.0,129.44,129.44,369.6
2024-06-14 08:00:00+00:00,249.97,0.0,249.97,249.97,369.6
2024-06-14 08:15:00+00:00,249.97,0.0,249.97,249.97,312.5
2024-06-14 08:30:00+00:00,52.44,0.0,52.44,52.44,312.5
2024-06-14 08:45:00+00:00,-81.0,0.0,-81.0,-81.0,312.5
2024-06-14 09:00:00+00:00,-81.0,0.0,-81.0,-81.0,312.5
2024-06-14 09:15:00+00:00,-81.0,0.0,-81.0,-81.0,285.28
2024-06-14 09:30:00+00:00,48.06,0.0,48.06,48.06,285.28
2024-06-14 09:45:00+00:00,124.4,0.0,124.4,124.4,285.28
2024-06-14 10:00:00+00:00,124.4,0.0,124.4,124.4,285.28
2024-06-14 10:15:00+00:00,289.96,0.0,323.24,323.24,289.96
2024-06-14 10:30:00+00:00,289.96,0.0,323.24,323.24,289.96
2024-06-14 10:45:00+00:00,289.96,0.0,386.88,386.88,289.96
2024-06-14 11:00:00+00:00,289.96,0.0,386.88,386.88,289.96
2024-06-14 11:15:00+00:00,331.67,0.0,399.97,399.97,331.67
2024-06-14 11:30:00+00:00,331.67,0.0,442.02,442.02,331.67
2024-06-14 11:45:00+00:00,331.67,0.0,426.83,426.83,331.67
2024-06-14 12:00:00+00:00,331.67,0.0,403.28,403.28,331.67
2024-06-14 12:15:00+00:00,309.29,0.0,309.29,309.29,340.55
2024-06-14 12:30:00+00:00,124.4,0.0,124.4,124.4,340.55
2024-06-14 12:45:00+00:00,145.44,0.0,145.44,145.44,340.55
2024-06-14 13:00:00+00:00,340.55,0.0,393.45,393.45,340.55
2024-06-14 13:15:00+00:00,310.28,0.0,310.28,310.28,368.95
2024-06-14 13:30:00+00:00,173.31,0.0,173.31,173.31,368.95
2024-06-14 13:45:00+00:00,185.11,0.0,185.11,185.11,368.95
2024-06-14 14:00:00+00:00,368.95,0.0,383.62,383.62,368.95
2024-06-14 14:15:00+00:00,145.44,0.0,145.44,145.44,369.95
2024-06-14 14:30:00+00:00,129.44,0.0,129.44,129.44,369.95
2024-06-14 14:45:00+00:00,123.06,0.0,123.06,123.06,369.95
2024-06-14 15:00:00+00:00,160.06,0.0,160.06,160.06,369.95
2024-06-14 15:15:00+00:00,171.03,0.0,171.03,171.03,375.71
2024-06-14 15:30:00+00:00,333.23,0.0,333.23,333.23,375.71
2024-06-14 15:45:00+00:00,375.71,0.0,396.71,396.71,375.71
2024-06-14 16:00:00+00:00,375.71,0.0,396.71,396.71,375.71
2024-06-14 16:15:00+00:00,376.21,0.0,376.21,376.21,749.82
2024-06-14 16:30:00+00:00,403.28,0.0,403.28,403.28,749.82
2024-06-14 16:45:00+00:00,749.82,0.0,459.01,459.01,749.82
2024-06-14 17:00:00+00:00,749.82,0.0,570.0,570.0,749.82
2024-06-14 17:15:00+00:00,575.8,0.0,562.79,562.79,575.8
2024-06-14 17:30:00+00:00,575.8,0.0,562.79,562.79,575.8
