dt,price_pln_per_mw_h
2024-06-30 22:00:00+00:00,605.54
2024-06-30 22:15:00+00:00,721.25
2024-06-30 22:30:00+00:00,716.9
2024-06-30 22:45:00+00:00,544.14
2024-06-30 23:00:00+00:00,527.82
2024-06-30 23:15:00+00:00,544.14
2024-06-30 23:30:00+00:00,544.14
2024-06-30 23:45:00+00:00,539.11
2024-07-01 00:00:00+00:00,486.29
2024-07-01 00:15:00+00:00,544.14
2024-07-01 00:30:00+00:00,544.14
2024-07-01 00:45:00+00:00,542.38
2024-07-01 01:00:00+00:00,544.14
2024-07-01 01:15:00+00:00,544.14
2024-07-01 01:30:00+00:00,544.14
2024-07-01 01:45:00+00:00,544.14
2024-07-01 02:00:00+00:00,534.37
2024-07-01 02:15:00+00:00,443.19
2024-07-01 02:30:00+00:00,369.7
2024-07-01 02:45:00+00:00,366.7
2024-07-01 03:00:00+00:00,368.7
2024-07-01 03:15:00+00:00,370.81
2024-07-01 03:30:00+00:00,370.81
2024-07-01 03:45:00+00:00,376.81
2024-07-01 04:00:00+00:00,516.06
2024-07-01 04:15:00+00:00,618.05
2024-07-01 04:30:00+00:00,618.05
2024-07-01 04:45:00+00:00,618.05
2024-07-01 05:00:00+00:00,618.05
2024-07-01 05:15:00+00:00,631.04
2024-07-01 05:30:00+00:00,746.91
2024-07-01 05:45:00+00:00,666.63
2024-07-01 06:00:00+00:00,654.04
2024-07-01 06:15:00+00:00,679.0
2024-07-01 06:30:00+00:00,679.0
2024-07-01 06:45:00+00:00,657.0
2024-07-01 07:00:00+00:00,626.05
2024-07-01 07:15:00+00:00,665.87
2024-07-01 07:30:00+00:00,621.29
2024-07-01 07:45:00+00:00,621.29
2024-07-01 08:00:00+00:00,621.29
2024-07-01 08:15:00+00:00,623.47
2024-07-01 08:30:00+00:00,755.87
2024-07-01 08:45:00+00:00,751.76
2024-07-01 09:00:00+00:00,740.24
2024-07-01 09:15:00+00:00,665.87
2024-07-01 09:30:00+00:00,554.39
2024-07-01 09:45:00+00:00,554.39
2024-07-01 10:00:00+00:00,554.39
2024-07-01 10:15:00+00:00,544.14
2024-07-01 10:30:00+00:00,544.14
2024-07-01 10:45:00+00:00,544.14
2024-07-01 11:00:00+00:00,544.14
2024-07-01 11:15:00+00:00,503.59
2024-07-01 11:30:00+00:00,503.59
2024-07-01 11:45:00+00:00,503.59
2024-07-01 12:00:00+00:00,465.97
2024-07-01 12:15:00+00:00,396.98
2024-07-01 12:30:00+00:00,390.67
2024-07-01 12:45:00+00:00,450.88
2024-07-01 13:00:00+00:00,450.88
2024-07-01 13:15:00+00:00,393.82
2024-07-01 13:30:00+00:00,393.82
2024-07-01 13:45:00+00:00,447.86
2024-07-01 14:00:00+00:00,451.86
2024-07-01 14:15:00+00:00,390.67
2024-07-01 14:30:00+00:00,390.67
2024-07-01 14:45:00+00:00,396.98
2024-07-01 15:00:00+00:00,464.0
2024-07-01 15:15:00+00:00,435.47
2024-07-01 15:30:00+00:00,455.97
2024-07-01 15:45:00+00:00,497.2
2024-07-01 16:00:00+00:00,597.0
2024-07-01 16:15:00+00:00,841.0
2024-07-01 16:30:00+00:00,846.0
2024-07-01 16:45:00+00:00,1199.32
2024-07-01 17:00:00+00:00,1199.32
2024-07-01 17:15:00+00:00,1349.62
2024-07-01 17:30:00+00:00,1349.62
2024-07-01 17:45:00+00:00,1349.62
2024-07-01 18:00:00+00:00,1349.62
2024-07-01 18:15:00+00:00,1454.17
2024-07-01 18:30:00+00:00,1454.17
2024-07-01 18:45:00+00:00,1454.17
2024-07-01 19:00:00+00:00,1454.17
2024-07-01 19:15:00+00:00,1124.36
2024-07-01 19:30:00+00:00,1124.36
2024-07-01 19:45:00+00:00,1124.36
2024-07-01 20:00:00+00:00,1124.36
2024-07-01 20:15:00+00:00,824.52
2024-07-01 20:30:00+00:00,824.52
2024-07-01 20:45:00+00:00,824.52
2024-07-01 21:00:00+00:00,824.52
2024-07-01 21:15:00+00:00,604.64
2024-07-01 21:30:00+00:00,604.64
2024-07-01 21:45:00+00:00,604.64
2024-07-01 22:00:00+00:00,481.0
2024-07-01 22:15:00+00:00,717.4
2024-07-01 22:30:00+00:00,717.4
2024-07-01 22:45:00+00:00,717.4
2024-07-01 23:00:00+00:00,607.0
2024-07-01 23:15:00+00:00,629.28
2024-07-01 23:30:00+00:00,629.28
2024-07-01 23:45:00+00:00,629.28
2024-07-02 00:00:00+00:00,531.0
2024-07-02 00:15:00+00:00,509.0
2024-07-02 00:30:00+00:00,591.89
2024-07-02 00:45:00+00:00,591.89
2024-07-02 01:00:00+00:00,507.0
2024-07-02 01:15:00+00:00,555.19
2024-07-02 01:30:00+00:00,498.22
2024-07-02 01:45:00+00:00,428.44
2024-07-02 02:00:00+00:00,427.72
2024-07-02 02:15:00+00:00,412.0
2024-07-02 02:30:00+00:00,428.44
2024-07-02 02:45:00+00:00,413.0
2024-07-02 03:00:00+00:00,523.55
2024-07-02 03:15:00+00:00,419.0
2024-07-02 03:30:00+00:00,327.41
2024-07-02 03:45:00+00:00,417.0
2024-07-02 04:00:00+00:00,420.0
2024-07-02 04:15:00+00:00,146.02
2024-07-02 04:30:00+00:00,562.0
2024-07-02 04:45:00+00:00,643.04
2024-07-02 05:00:00+00:00,643.04
2024-07-02 05:15:00+00:00,607.54
2024-07-02 05:30:00+00:00,607.54
2024-07-02 05:45:00+00:00,646.84
2024-07-02 06:00:00+00:00,458.56
2024-07-02 06:15:00+00:00,725.26
2024-07-02 06:30:00+00:00,646.84
2024-07-02 06:45:00+00:00,523.9
2024-07-02 07:00:00+00:00,539.58
2024-07-02 07:15:00+00:00,736.54
2024-07-02 07:30:00+00:00,723.21
2024-07-02 07:45:00+00:00,497.92
2024-07-02 08:00:00+00:00,461.53
