date,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,budget_pln_interval
2024-06-30,953.4067501720904,44702.2734926968,385.76,19288.0,798627.663
2024-07-01,21547.315770632442,618577.2170120456,6642.955,332147.75,10743099.80075
2024-07-02,6317.868800597216,307437.4297091344,1929.765,96488.25,5782784.634
2024-07-03,3769.2387504681237,186908.98309710363,952.9275,47646.375,4320682.548
2024-07-04,6361.984820548296,293080.76221872494,2025.2525,101262.625,5749694.9775
2024-07-05,6491.500369185232,290969.1337512955,2135.375,106768.75,5204515.33125
2024-07-06,1563.3435129014852,78167.17564507425,286.96500000000003,14348.25,1715575.76475
2024-07-07,2811.7601319625455,139845.06172409884,863.6274999999999,43181.375,2784834.206
2024-07-08,12357.721698640127,330775.9140758889,3412.72,170636.0,5970744.39125
2024-07-09,7614.8232677698015,279869.14803733944,2086.1875,104309.375,5250139.38775
2024-07-10,13304.16684978967,505704.10908166255,4790.3925,239519.625,8409085.19425
2024-07-11,21678.321266995972,583788.6998921803,5904.2175,295210.875,9976097.0655
2024-07-12,7466.084885433046,342293.9285873155,2953.68,147684.0,6521532.04025
2024-07-13,7429.663513348019,329765.5562387038,2823.2275,141161.375,6303737.80175
2024-07-14,3712.1303576203413,170285.3334281311,1496.0075,74800.375,3090256.56275
2024-07-15,67201.98262340289,464074.06904525077,5776.455,288822.75,8032503.433
2024-07-16,29526.232659607365,490702.5661125977,5701.2425,285062.125,8803519.80825
2024-07-17,15821.51683899087,352344.07482038304,3700.8175,185040.875,6702150.38225
2024-07-18,42101.42743658296,457451.0542839844,5585.46,279273.0,7881593.90625
2024-07-19,14883.206367573928,296955.51604129304,2933.7475,146687.375,5452102.16275
2024-07-20,22765.64605937927,470345.76890860626,4676.9475,233847.375,7756546.5395
2024-07-21,15006.552436689899,500376.9295290283,4010.335,200516.75,7831081.078
2024-07-22,6237.224714179069,306762.7957172796,1956.8200000000002,97841.0,5628650.888
2024-07-23,15612.667130640632,394608.8457846623,3628.35,181417.5,7014549.83375
2024-07-24,4746.769696953712,237338.48484768558,1318.625,65931.25,4994482.5285
2024-07-25,11198.136268229548,403528.37206475926,3720.7925,186039.625,7342530.4465
2024-07-26,9581.376641101813,334565.47890820215,2868.125,143406.25,5953227.83675
2024-07-27,10006.466118572285,410304.4822994858,2981.5150000000003,149075.75,6954309.2735
2024-07-28,4800.395904688435,236607.93742045108,1149.5075,57475.375,4393675.431
2024-07-29,2949.3562752473263,143152.99183953358,926.6049999999999,46330.24999999999,2645412.09875
2024-07-30,8532.43981162615,331225.18884578225,2621.4775,131073.875,5650870.1445
2024-07-31,6828.738338544932,264425.7638809436,1955.3449999999998,97767.25,4850884.0915
2024-08-01,5651.523866470149,272726.0628375497,1764.33,88216.5,4866982.4705
2024-08-02,7522.573543898061,340285.35447404353,2528.6875,126434.375,5815570.03575
