dt,Hours_in_interval,price_pln_per_mw_h,mw_procured,budget_pln_interval,p_accept_exante,val_perMW_h_exante,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,p_accept_expost,val_perMW_h_expost,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,cap_share_pln
2024-06-30 22:00:00+00:00,0.25,605.54,678.3,102684.44549999999,0.6532925721169847,517.7357563050198,129.43393907625494,6471.696953812747,1.0,205.53999999999996,51.38499999999999,2569.2499999999995,7569.249999999999
2024-06-30 22:15:00+00:00,0.25,721.25,759.0,136857.1875,0.7838098695696318,859.9159867437559,214.97899668593897,9015.625,1.0,321.25,80.3125,4015.625,9015.625
2024-06-30 22:30:00+00:00,0.25,716.9,800.0,143380.0,0.7711508293449314,815.6791345288616,203.9197836322154,8961.25,1.0,316.9,79.225,3961.2499999999995,8961.25
2024-06-30 22:45:00+00:00,0.25,544.14,669.1,91021.0185,0.5295578551391248,327.98788642733643,81.99697160683411,4099.848580341705,1.0,144.14,36.035,1801.7499999999998,6801.750000000001
2024-06-30 23:00:00+00:00,0.25,527.82,550.1,72588.44550000002,0.498888121848194,292.03513844863244,73.00878461215811,3650.4392306079053,1.0,127.82000000000005,31.955000000000013,1597.7500000000007,6597.750000000001
2024-06-30 23:15:00+00:00,0.25,544.14,567.1,77145.4485,0.5369404043932537,337.1772362151705,84.29430905379263,4214.715452689632,1.0,144.14,36.035,1801.7499999999998,6801.749999999999
2024-06-30 23:30:00+00:00,0.25,544.14,672.4,91469.934,0.537147332234016,337.43797683812204,84.35949420953051,4217.974710476526,1.0,144.14,36.035,1801.7499999999998,6801.75
2024-06-30 23:45:00+00:00,0.25,539.11,619.4,83481.1835,0.5276577985241482,325.65788518146286,81.41447129536571,4070.7235647682855,1.0,139.11,34.7775,1738.8750000000002,6738.875
2024-07-01 00:00:00+00:00,0.25,486.29,494.6,60129.7585,0.42897763577456516,221.59101755659776,55.39775438914944,2769.887719457472,1.0,86.29000000000002,21.572500000000005,1078.6250000000002,6078.625
2024-07-01 00:15:00+00:00,0.25,544.14,612.2,83280.62700000001,0.5510609170258403,355.3800568711009,88.84501421777523,4442.250710888761,1.0,144.14,36.035,1801.7499999999998,6801.75
2024-07-01 00:30:00+00:00,0.25,544.14,553.7,75322.5795,0.5510269691952221,355.33527378768656,88.83381844692164,4441.690922346082,1.0,144.14,36.035,1801.7499999999998,6801.75
2024-07-01 00:45:00+00:00,0.25,542.38,551.8,74821.321,0.5478917013009265,351.2208946390136,87.8052236597534,4390.26118298767,1.0,142.38,35.595,1779.75,6779.750000000001
2024-07-01 01:00:00+00:00,0.25,544.14,594.7,80900.0145,0.5480096588047296,351.37491972446503,87.84372993111626,4392.1864965558125,1.0,144.14,36.035,1801.7499999999998,6801.75
2024-07-01 01:15:00+00:00,0.25,544.14,469.6,63882.036,0.556977396196751,363.26253287941347,90.81563321985337,4540.781660992669,1.0,144.14,36.035,1801.7499999999998,6801.75
2024-07-01 01:30:00+00:00,0.25,544.14,480.5,65364.8175,0.5555515683528152,361.34869410664066,90.33717352666017,4516.858676333009,1.0,144.14,36.035,1801.7499999999998,6801.75
2024-07-01 01:45:00+00:00,0.25,544.14,548.0,74547.18,0.5556081037698533,361.4244064065644,90.3561016016411,4517.805080082055,1.0,144.14,36.035,1801.7499999999998,6801.749999999999
