month,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,budget_pln_interval
2024-06,953.4067501720904,44702.2734926968,385.76,19288.0,798627.663
2024-07,410226.0593179034,10552238.772848627,93815.4675,4690773.375,189710869.5885
2024-08,857991.8993355024,11228287.197419038,101654.96,5082748.0,196342902.21725
2024-09,526742.7849078233,9550506.994970726,81912.72,4095636.0,169533642.5695
2024-10,417082.9146406459,12212273.58786394,105183.41,5259170.5,206773714.1005
2024-11,539433.9908174902,14126627.253817013,128502.8025,6425140.125,238405516.475
2024-12,315416.1392848155,11396369.540130006,93840.245,4692012.25,199157983.30275
2025-01,307412.7776203757,12151164.107624812,100166.205,5008310.25,211003677.80975
2025-02,366752.1380452901,14583269.24129195,128505.115,6425255.75,244871176.9885
2025-03,252287.529196918,10876435.073302295,83885.025,4194251.25,188922833.8165
2025-04,187737.60327437986,8420517.2995574,58227.34,2911367.0,152445154.236
2025-05,261118.45149149885,10705524.951819541,82925.785,4146289.25,193354912.363
2025-06,449457.83295430965,9983936.546965355,83474.2775,4173713.875,177168632.278
