dt,CEN,COR,CSDAC,CEB_SR,SK
2024-06-30 22:00:00+00:00,605.54,10.0,413.14,605.54,-197.474
2024-06-30 22:15:00+00:00,721.25,10.0,527.82,721.25,-285.61
2024-06-30 22:30:00+00:00,716.9,10.0,527.82,716.9,-203.404
2024-06-30 22:45:00+00:00,544.14,10.0,527.82,544.14,-85.074
2024-06-30 23:00:00+00:00,527.82,10.0,527.82,527.36,-32.939
2024-06-30 23:15:00+00:00,544.14,10.0,486.29,544.14,-75.646
2024-06-30 23:30:00+00:00,544.14,10.0,486.29,544.14,-77.255
2024-06-30 23:45:00+00:00,539.11,10.0,486.29,539.11,-60.211
2024-07-01 00:00:00+00:00,486.29,10.0,486.29,452.31,-10.483
2024-07-01 00:15:00+00:00,544.14,10.0,417.8,544.14,-75.505
2024-07-01 00:30:00+00:00,544.14,10.0,417.8,544.14,-75.24
2024-07-01 00:45:00+00:00,542.38,10.0,417.8,542.38,-70.607
2024-07-01 01:00:00+00:00,544.14,10.0,417.8,544.14,-51.698
2024-07-01 01:15:00+00:00,544.14,10.0,384.5,544.14,-68.186
2024-07-01 01:30:00+00:00,544.14,10.0,384.5,544.14,-57.036
2024-07-01 01:45:00+00:00,544.14,10.0,384.5,544.14,-57.478
2024-07-01 02:00:00+00:00,534.37,10.0,384.5,534.37,-49.069
2024-07-01 02:15:00+00:00,443.19,10.0,380.41,443.19,-12.457
2024-07-01 02:30:00+00:00,369.7,10.0,380.41,369.7,67.994
2024-07-01 02:45:00+00:00,366.7,10.0,380.41,366.7,84.85
2024-07-01 03:00:00+00:00,368.7,10.0,380.41,368.7,47.544
2024-07-01 03:15:00+00:00,370.81,0.0,384.98,370.81,112.569
2024-07-01 03:30:00+00:00,370.81,0.0,384.98,370.81,110.419
2024-07-01 03:45:00+00:00,376.81,0.0,384.98,376.81,23.382
2024-07-01 04:00:00+00:00,516.06,0.0,384.98,516.06,-109.492
2024-07-01 04:15:00+00:00,618.05,0.0,618.05,534.14,-87.436
2024-07-01 04:30:00+00:00,618.05,0.0,618.05,534.14,-85.243
2024-07-01 04:45:00+00:00,618.05,0.0,618.05,552.59,-116.307
2024-07-01 05:00:00+00:00,618.05,0.0,618.05,603.89,-177.261
2024-07-01 05:15:00+00:00,631.04,10.0,624.65,631.04,-195.618
2024-07-01 05:30:00+00:00,746.91,10.0,624.65,746.91,-154.467
2024-07-01 05:45:00+00:00,666.63,10.0,624.65,666.63,-114.146
2024-07-01 06:00:00+00:00,654.04,10.0,624.65,654.04,-124.733
2024-07-01 06:15:00+00:00,679.0,10.0,623.53,679.0,-165.691
2024-07-01 06:30:00+00:00,679.0,10.0,623.53,679.0,-139.035
2024-07-01 06:45:00+00:00,657.0,10.0,623.53,657.0,-129.798
2024-07-01 07:00:00+00:00,626.05,10.0,623.53,626.05,-64.115
2024-07-01 07:15:00+00:00,665.87,10.0,621.29,665.87,-154.05
2024-07-01 07:30:00+00:00,621.29,10.0,621.29,582.67,-120.109
2024-07-01 07:45:00+00:00,621.29,10.0,621.29,546.61,-141.338
2024-07-01 08:00:00+00:00,621.29,10.0,621.29,570.76,-189.371
2024-07-01 08:15:00+00:00,623.47,10.0,548.96,623.47,-281.826
2024-07-01 08:30:00+00:00,755.87,25.63,548.96,755.87,-359.375
2024-07-01 08:45:00+00:00,751.76,14.85,548.96,751.76,-381.951
2024-07-01 09:00:00+00:00,740.24,10.0,548.96,740.24,-379.766
2024-07-01 09:15:00+00:00,665.87,10.0,554.39,665.87,-286.943
2024-07-01 09:30:00+00:00,554.39,10.0,554.39,544.14,-185.93
2024-07-01 09:45:00+00:00,554.39,10.0,554.39,544.86,-195.711
2024-07-01 10:00:00+00:00,554.39,10.0,554.39,544.86,-191.288
2024-07-01 10:15:00+00:00,544.14,10.0,505.83,544.14,-157.503
2024-07-01 10:30:00+00:00,544.14,10.0,505.83,544.14,-140.485
2024-07-01 10:45:00+00:00,544.14,10.0,505.83,544.14,-147.158
2024-07-01 11:00:00+00:00,544.14,10.0,505.83,544.14,-148.906
2024-07-01 11:15:00+00:00,503.59,10.0,503.59,493.71,-104.88
2024-07-01 11:30:00+00:00,503.59,10.0,503.59,493.71,-97.264
2024-07-01 11:45:00+00:00,503.59,10.0,503.59,402.87,-33.172
2024-07-01 12:00:00+00:00,465.97,10.0,503.59,465.97,55.577
2024-07-01 12:15:00+00:00,396.98,10.0,588.29,396.98,202.226
2024-07-01 12:30:00+00:00,390.67,10.0,588.29,390.67,197.453
2024-07-01 12:45:00+00:00,450.88,10.0,588.29,450.88,66.868
2024-07-01 13:00:00+00:00,450.88,10.0,588.29,450.88,65.316
2024-07-01 13:15:00+00:00,393.82,10.0,535.29,393.82,196.787
2024-07-01 13:30:00+00:00,393.82,10.0,535.29,393.82,189.484
2024-07-01 13:45:00+00:00,447.86,10.0,535.29,447.86,125.199
2024-07-01 14:00:00+00:00,451.86,10.0,535.29,451.86,74.681
2024-07-01 14:15:00+00:00,390.67,10.0,763.57,390.67,217.403
2024-07-01 14:30:00+00:00,390.67,10.0,763.57,390.67,217.762
2024-07-01 14:45:00+00:00,396.98,10.0,763.57,396.98,188.498
2024-07-01 15:00:00+00:00,464.0,10.0,763.57,464.0,75.628
2024-07-01 15:15:00+00:00,435.47,0.0,866.48,435.47,183.997
2024-07-01 15:30:00+00:00,455.97,0.0,866.48,455.97,159.422
