dt,S_bal
2024-06-30 22:00:00+00:00,63.76
2024-06-30 22:15:00+00:00,47.88
2024-06-30 22:30:00+00:00,67.53
2024-06-30 22:45:00+00:00,89.42
2024-06-30 23:00:00+00:00,53.97
2024-06-30 23:15:00+00:00,53.97
2024-06-30 23:30:00+00:00,99.3
2024-06-30 23:45:00+00:00,79.01
2024-07-01 00:00:00+00:00,83.26
2024-07-01 00:15:00+00:00,-41.44
2024-07-01 00:30:00+00:00,83.41
2024-07-01 00:45:00+00:00,83.36
2024-07-01 01:00:00+00:00,111.23
2024-07-01 01:15:00+00:00,57.34
2024-07-01 01:30:00+00:00,62.05
2024-07-01 01:45:00+00:00,91.12
2024-07-01 02:00:00+00:00,88.34
2024-07-01 02:15:00+00:00,121.52
2024-07-01 02:30:00+00:00,90.96
2024-07-01 02:45:00+00:00,78.35
2024-07-01 03:00:00+00:00,155.78
2024-07-01 03:15:00+00:00,113.5
2024-07-01 03:30:00+00:00,120.83
2024-07-01 03:45:00+00:00,83.52
2024-07-01 04:00:00+00:00,107.37
2024-07-01 04:15:00+00:00,123.75
2024-07-01 04:30:00+00:00,92.21
2024-07-01 04:45:00+00:00,130.37
2024-07-01 05:00:00+00:00,104.3
2024-07-01 05:15:00+00:00,112.03
2024-07-01 05:30:00+00:00,104.28
2024-07-01 05:45:00+00:00,165.63
2024-07-01 06:00:00+00:00,114.66
2024-07-01 06:15:00+00:00,88.56
2024-07-01 06:30:00+00:00,135.56
2024-07-01 06:45:00+00:00,84.48
2024-07-01 07:00:00+00:00,114.54
2024-07-01 07:15:00+00:00,60.33
2024-07-01 07:30:00+00:00,76.11
2024-07-01 07:45:00+00:00,114.24
2024-07-01 08:00:00+00:00,122.12
2024-07-01 08:15:00+00:00,107.94
2024-07-01 08:30:00+00:00,100.77
2024-07-01 08:45:00+00:00,96.13
2024-07-01 09:00:00+00:00,62.18
2024-07-01 09:15:00+00:00,81.15
2024-07-01 09:30:00+00:00,87.63
2024-07-01 09:45:00+00:00,125.57
2024-07-01 10:00:00+00:00,104.93
2024-07-01 10:15:00+00:00,52.26
2024-07-01 10:30:00+00:00,104.44
