date,price_pln_per_mw_h_mean,price_pln_per_mw_h_min,price_pln_per_mw_h_max,mw_procured_mean,capacity_revenue_baseline_sum,capacity_revenue_capped_sum,budget_envelope_sum,bound_flag_sum,energy_revenue_sum,total_revenue_sum
2024-06-30,106.75,68.91,178.85,400.0,8563.14,7727.07,10675.38,4,-16.06,7711.01
2024-07-01,214.65,35.65,1000.0,400.0,102757.62,91831.01,257578.25,51,-192.72,91638.29
2024-07-02,377.3,14.57,1000.0,400.0,102757.62,99498.47,452756.75,9,-192.72,99305.74
2024-07-03,143.19,14.46,1000.0,400.0,102757.62,90789.49,171833.88,30,-192.72,90596.77
2024-07-04,162.21,14.46,312.17,400.0,102757.62,91073.02,194654.38,21,-192.72,90880.29
2024-07-05,465.89,26.25,1000.0,400.0,102757.62,92464.57,559067.5,18,-192.72,92271.84
2024-07-06,621.51,163.95,1000.0,400.0,102757.62,102757.62,745808.75,0,-192.72,102564.9
2024-07-07,283.22,15.46,520.19,400.0,102757.62,96752.8,339865.62,19,-192.72,96560.08
2024-07-08,169.83,11.77,1000.0,400.0,102757.62,85204.67,203797.38,49,-192.72,85011.94
2024-07-09,190.65,10.0,1000.0,400.0,102757.62,87205.96,228777.12,32,-192.72,87013.23
2024-07-10,514.46,30.26,1000.0,400.0,102757.62,91681.32,617346.38,25,-192.72,91488.6
2024-07-11,63.37,38.58,101.56,400.0,48167.63,34366.58,35646.38,33,-90.34,34276.24
