date,price_pln_per_mw_h_mean,price_pln_per_mw_h_min,price_pln_per_mw_h_max,mw_procured_mean,capacity_revenue_baseline_sum,capacity_revenue_capped_sum,budget_envelope_sum,bound_flag_sum,total_revenue_sum
2024-06-30,106.75,68.91,178.85,400.0,17054.12,15418.06,21350.75,4,15418.06
2024-07-01,214.65,35.65,1000.0,400.0,204649.41,183256.16,515156.5,51,183256.16
2024-07-02,377.3,14.57,1000.0,400.0,204649.41,198212.27,905513.5,9,198212.27
2024-07-03,143.19,14.46,1000.0,400.0,204649.41,180981.51,343667.75,27,180981.51
2024-07-04,162.21,14.46,312.17,400.0,204649.41,181463.63,389308.75,19,181463.63
2024-07-05,465.89,26.25,1000.0,400.0,204649.41,184225.64,1118135.0,18,184225.64
2024-07-06,621.51,163.95,1000.0,400.0,204649.41,204649.41,1491617.5,0,204649.41
2024-07-07,283.22,15.46,520.19,400.0,204649.41,192811.13,679731.25,19,192811.13
2024-07-08,169.83,11.77,1000.0,400.0,204649.41,169985.44,407594.75,49,169985.44
2024-07-09,190.65,10.0,1000.0,400.0,204649.41,173834.69,457554.25,32,173834.69
2024-07-10,514.46,30.26,1000.0,400.0,204649.41,182722.29,1234692.75,25,182722.29
2024-07-11,63.37,38.58,101.56,400.0,95929.41,68624.93,71292.75,33,68624.93
