date,price_pln_per_mw_h_mean,price_pln_per_mw_h_min,price_pln_per_mw_h_max,mw_procured_mean,capacity_revenue_baseline_sum,capacity_revenue_capped_sum,budget_envelope_sum,bound_flag_sum,total_revenue_sum
2024-06-30,106.75,68.91,178.85,400.0,8849.3,7870.15,10675.38,4,7870.15
2024-07-01,214.65,35.65,1000.0,400.0,106191.59,93440.68,257578.25,51,93440.68
2024-07-02,377.3,14.57,1000.0,400.0,106191.59,102610.5,452756.75,9,102610.5
2024-07-03,143.19,14.46,1000.0,400.0,106191.59,93098.11,171833.88,33,93098.11
2024-07-04,162.21,14.46,312.17,400.0,106191.59,93755.8,194654.38,21,93755.8
2024-07-05,465.89,26.25,1000.0,400.0,106191.59,95254.67,559067.5,18,95254.67
2024-07-06,621.51,163.95,1000.0,400.0,106191.59,106191.59,745808.75,0,106191.59
2024-07-07,283.22,15.46,520.19,400.0,106191.59,99485.34,339865.62,20,99485.34
2024-07-08,169.83,11.77,1000.0,400.0,106191.59,86885.88,203797.38,49,86885.88
2024-07-09,190.65,10.0,1000.0,400.0,106191.59,89495.27,228777.12,32,89495.27
2024-07-10,514.46,30.26,1000.0,400.0,106191.59,94221.03,617346.38,25,94221.03
2024-07-11,63.37,38.58,101.56,400.0,49777.31,34795.67,35646.38,37,34795.67
