date,price_pln_per_mw_h_mean,price_pln_per_mw_h_min,price_pln_per_mw_h_max,mw_procured_mean,capacity_revenue_baseline_sum,capacity_revenue_capped_sum,budget_envelope_sum,bound_flag_sum,energy_revenue_sum,total_revenue_sum
2024-06-30,106.75,68.91,178.85,400.0,13087.85,11712.18,16013.06,4,63.7,11775.88
2024-07-01,214.65,35.65,1000.0,400.0,157054.24,139114.24,386367.38,51,871.43,139985.67
2024-07-02,377.3,14.57,1000.0,400.0,157054.24,151891.97,679135.12,9,907.27,152799.23
2024-07-03,143.19,14.46,1000.0,400.0,157054.24,138181.66,257750.81,33,955.01,139136.67
2024-07-04,162.21,14.46,312.17,400.0,157054.24,138889.06,291981.56,21,937.09,139826.15
2024-07-05,465.89,26.25,1000.0,400.0,157054.24,141067.57,838601.25,18,876.33,141943.9
2024-07-06,621.51,163.95,1000.0,400.0,157054.24,157054.24,1118713.12,0,701.29,157755.53
2024-07-07,283.22,15.46,520.19,400.0,157054.24,147460.11,509798.44,20,725.59,148185.69
2024-07-08,169.83,11.77,1000.0,400.0,157054.24,129235.51,305696.06,49,918.41,130153.92
2024-07-09,190.65,10.0,1000.0,400.0,157054.24,132754.14,343165.69,32,939.06,133693.2
2024-07-10,514.46,30.26,1000.0,400.0,157054.24,139679.95,926019.56,25,998.68,140678.63
2024-07-11,63.37,38.58,101.56,400.0,73619.17,51914.59,53469.56,33,460.66,52375.25
